City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Manama,BH,2021-10-20 18:56:10,26.2154,50.5832,85.98,64,0,10.36
208,Port-Gentil,GA,2021-10-20 18:56:11,-0.7193,8.7815,76.96,94,90,8.05
209,Jaisalmer,IN,2021-10-20 18:51:03,26.9147,70.9181,81.19,35,0,18.3
210,Berlevag,NO,2021-10-20 18:56:11,70.8578,29.0864,28.4,69,20,9.22
211,Grants,US,2021-10-20 18:56:12,35.1473,-107.8514,57.43,26,1,3.44
212,Fort Wellington,GY,2021-10-20 18:56:12,6.4,-57.6,84.76,62,100,8.43
213,Merauke,ID,2021-10-20 18:56:13,-8.4667,140.3333,78.15,86,94,8.32
214,Conde,BR,2021-10-20 18:56:13,-7.2597,-34.9075,85.46,62,20,11.5
215,Stornoway,GB,2021-10-20 18:56:13,58.2093,-6.3865,48.92,70,40,18.41
216,Kiunga,PG,2021-10-20 18:56:14,-6.1219,141.2906,71.87,99,82,1.1
217,Abha,SA,2021-10-20 18:56:14,18.2164,42.5053,66.45,18,0,5.75
218,Anadyr,RU,2021-10-20 18:52:09,64.75,177.4833,21.7,86,90,13.42
219,Bengkulu,ID,2021-10-20 18:50:56,-3.8004,102.2655,74.64,92,100,6.49
220,Comodoro Rivadavia,AR,2021-10-20 18:53:24,-45.8667,-67.5,84.06,21,40,14.97
221,Loyga,RU,2021-10-20 18:56:15,61.0784,44.6075,27.63,86,100,7.74
222,Massaguet,TD,2021-10-20 18:56:16,12.4755,15.4365,89.64,30,100,7.25
223,Kitui,KE,2021-10-20 18:56:16,-1.367,38.0106,68.29,66,99,11.27
224,Serdobsk,RU,2021-10-20 18:56:17,52.4586,44.2169,35.98,64,86,7.85
225,Morondava,MG,2021-10-20 18:52:23,-20.2833,44.2833,76.35,80,2,15.01
226,Nanortalik,GL,2021-10-20 18:52:19,60.1432,-45.2371,38.01,77,1,1.95
227,Fortuna,US,2021-10-20 18:51:54,40.5982,-124.1573,62.92,68,75,8.01
228,Nome,US,2021-10-20 18:52:00,64.5011,-165.4064,33.87,86,90,9.22
229,Ouargaye,BF,2021-10-20 18:56:18,11.5033,0.0572,86.65,50,100,3.98
230,Maceio,BR,2021-10-20 18:56:18,-9.6658,-35.7353,87.24,66,20,16.11
231,Dikson,RU,2021-10-20 18:46:29,73.5069,80.5464,26.67,65,59,8.9
232,Pisco,PE,2021-10-20 18:51:15,-13.7,-76.2167,67.01,72,0,9.22
233,Tutoia,BR,2021-10-20 18:52:37,-2.7619,-42.2744,89.58,68,88,11.01
234,Lebu,CL,2021-10-20 18:51:16,-37.6167,-73.65,57.45,78,36,8.43
235,Melilla,ES,2021-10-20 18:56:20,35.2937,-2.9383,70.0,88,20,3.44
236,Belmonte,BR,2021-10-20 18:52:14,-15.8631,-38.8828,82.9,73,39,10.49
237,Sao Miguel Do Iguacu,BR,2021-10-20 18:56:21,-25.3481,-54.2378,81.84,49,1,5.35
238,Encarnacion,PY,2021-10-20 18:52:40,-27.3333,-55.9,82.92,39,20,6.91
239,Padang,ID,2021-10-20 18:51:39,-0.9492,100.3543,75.25,89,100,3.78
240,Itarema,BR,2021-10-20 18:56:21,-2.9248,-39.9167,84.47,64,99,13.89
241,Tomelloso,ES,2021-10-20 18:56:22,39.1522,-3.0243,69.51,49,100,7.56
242,Hasaki,JP,2021-10-20 18:50:48,35.7333,140.8333,50.4,56,100,14.05
243,Sabaudia,IT,2021-10-20 18:56:23,41.3003,13.0282,60.78,86,8,0.49
244,Verkhoyansk,RU,2021-10-20 18:56:23,67.5447,133.385,9.79,97,100,0.98
